iter	Passed	Remaining
826	7607	1591
827	7616	1582
828	7624	1572
829	7633	1563
830	7641	1554
831	7649	1544
832	7657	1535
833	7666	1525
834	7675	1516
835	7683	1507
836	7692	1497
837	7700	1488
838	7708	1479
839	7717	1470
840	7728	1461
841	7738	1452
842	7749	1443
843	7759	1434
844	7768	1424
845	7777	1415
846	7785	1406
847	7794	1397
848	7802	1387
849	7811	1378
850	7819	1369
851	7827	1359
852	7835	1350
853	7843	1340
854	7852	1331
855	7860	1322
856	7869	1313
857	7878	1303
858	7886	1294
859	7894	1285
860	7903	1275
861	7913	1266
862	7924	1258
863	7935	1249
864	7945	1240
865	7956	1231
866	7965	1221
867	7974	1212
868	7983	1203
869	7991	1194
870	7999	1184
871	8007	1175
872	8015	1166
873	8024	1156
874	8033	1147
875	8041	1138
876	8050	1129
877	8059	1119
878	8067	1110
879	8076	1101
880	8088	1092
881	8099	1083
882	8109	1074
883	8119	1065
884	8128	1056
885	8137	1047
886	8146	1037
887	8154	1028
888	8162	1019
889	8170	1009
890	8178	1000
891	8186	991
892	8194	981
893	8202	972
894	8211	963
895	8219	954
896	8228	944
897	8237	935
898	8245	926
899	8254	917
900	8263	907
901	8272	898
902	8280	889
903	8290	880
904	8298	871
905	8307	861
906	8317	852
907	8325	843
908	8333	834
909	8342	825
910	8350	815
911	8358	806
912	8366	797
913	8374	788
914	8383	778
915	8391	769
916	8399	760
917	8408	751
918	8416	741
919	8424	732
920	8433	723
921	8441	714
922	8449	704
923	8458	695
924	8472	686
925	8494	678
926	8514	670
927	8534	662
928	8547	653
929	8561	644
930	8572	635
931	8582	626
932	8592	617
933	8601	607
934	8610	598
935	8619	589
936	8627	580
937	8635	570
938	8644	561
939	8652	552
940	8661	543
941	8670	533
942	8678	524
943	8686	515
944	8694	506
945	8702	496
946	8710	487
947	8718	478
948	8726	468
949	8735	459
950	8743	450
951	8751	441
952	8759	432
953	8768	422
954	8776	413
955	8784	404
956	8792	395
957	8801	385
958	8811	376
959	8820	367
960	8835	358
961	8849	349
962	8863	340
963	8877	331
964	8890	322
965	8900	313
966	8909	304
967	8918	294
968	8926	285
969	8935	276
970	8943	267
971	8951	257
972	8959	248
973	8967	239
974	8976	230
975	8984	220
976	8992	211
977	9001	202
978	9009	193
979	9017	184
980	9026	174
981	9034	165
982	9044	156
983	9053	147
984	9063	138
985	9072	128
986	9081	119
987	9091	110
988	9099	101
989	9108	92
990	9116	82
991	9124	73
992	9133	64
993	9141	55
994	9149	45
995	9158	36
996	9166	27
997	9174	18
998	9182	9
999	9190	0
