,Price,Space,Rooms,Market,Year,elevator,Parking place,balkon,taras,ogródek,district,street,level,max_level
12285,616000,56,3,wtórny,1973,1,0,0,0,0, Praga-Północ,Bródnowska,2,11
2537,779999,56,3,wtórny,2008,1,1,0,0,0, Bemowo,Narwik,0,7
4737,1040000,56,2,wtórny,1952,0,1,0,0,0, Mokotów,Kazimierzowska,1,3
10242,789800,56,3,pierwotny,2022,1,1,0,0,0, Praga-Południe, Praga-Południe,6,8
6825,560000,56,3,wtórny,1965,0,1,0,0,0, Praga-Południe,Szaserów,4,4
2303,779999,56,3,wtórny,2008,1,1,0,0,0, Bemowo,Narwik,0,7
7883,636000,56,2,wtórny,2021,1,1,0,0,0, Białołęka, Rybaki,2,3
11117,779999,56,3,wtórny,2008,1,1,0,0,0, Bemowo,Narwik,0,7
6084,560000,56,3,wtórny,1965,0,1,0,0,0, Praga-Południe,Szaserów,4,4
13998,599000,56,3,wtórny,1979,1,0,0,0,0, Targówek,Malborska,7,11
16926,1040000,56,2,wtórny,1952,0,1,0,0,0, Mokotów,Kazimierzowska,1,3
634,793900,56,3,wtórny,2021,1,1,1,1,1, Ursus,Posag 7 Panien,1,7
469,1040000,56,2,wtórny,1952,0,1,0,0,0, Mokotów,Kazimierzowska,1,3
15554,549000,56,2,wtórny,2003,0,1,0,0,0, Białołęka, Tarchomin,3,3
14395,699000,56,3,wtórny,1971,1,0,0,0,0, Praga-Południe, Międzynarodowa,8,10
19385,779999,56,3,wtórny,2008,1,1,0,0,0, Bemowo,Narwik,0,7
11765,517830,56,3,pierwotny,2022,0,1,0,0,0, Białołęka, Głębocka,2,2
18847,956000,56,2,wtórny,1969,0,1,0,0,0, Bielany, Ogólna,1,4
11963,855000,56,3,wtórny,2019,1,1,0,0,0, Praga-Południe, Przeworska,3,6
4377,670000,56,2,wtórny,2003,1,1,0,0,0, Bielany, Wojciecha Bogusławskiego,1,14
15023,672000,56,2,wtórny,2005,1,1,0,0,0, Bemowo, Bemowo,2,8
2227,819500,56,3,wtórny,1956,0,1,0,0,0, Wola, Wola,3,3
20988,650000,56,3,wtórny,1973,1,0,0,0,0, Żoliborz, Władysława Broniewskiego,2,10
12355,560000,56,3,wtórny,1965,0,0,0,0,0, Praga-Południe, Praga-Południe,4,4
8769,1250000,56,2,wtórny,1926,0,0,0,0,0, Mokotów, Aleksandra Sulkiewicza,3,3
2949,669000,56,4,wtórny,1970,0,0,0,0,0, Targówek, Łojewska 20,3,4
15587,589000,56,3,wtórny,1974,1,1,0,0,0, Bielany,Dantego Alighieri,7,10
15681,609000,56,3,wtórny,1973,1,0,0,0,0, Wesoła, Broniewskiego,4,10
4937,946400,56,3,wtórny,2016,1,1,0,0,0, Bielany, Bielany,1,8
17667,946400,56,3,wtórny,2016,1,1,0,0,0, Bielany, Bielany,1,8
20631,946400,56,3,wtórny,2016,1,1,0,0,0, Bielany, Bielany,1,8
2570,629000,56,3,wtórny,1976,1,0,0,0,0, Mokotów,Kartaginy,7,12
10837,499900,56,3,pierwotny,2022,0,1,0,0,0, Białołęka, Głębocka,2,2
18786,728000,56,2,wtórny,2010,0,1,0,0,0, Wawer, I Poprzeczna,1,3
23297,950000,56,3,pierwotny,2021,1,1,0,0,0, Wola, Wola,11,12
18107,610000,56,3,wtórny,1972,1,0,0,0,0, Bielany, Władysława Broniewskiego,2,10
17008,570000,56,3,wtórny,1963,0,1,0,0,0, Praga-Południe,Szaserów,4,4
17002,570000,56,3,wtórny,1963,0,1,0,0,0, Praga-Południe,Szaserów,4,4
1897,650000,56,3,wtórny,1976,1,0,0,0,0, Mokotów, Śródziemnomorska,7,10
7775,550000,56,3,pierwotny,2022,0,1,0,0,0, Białołęka,Kąty Grodziskie 15,2,2
21806,520536,56,3,pierwotny,2021,0,1,0,0,0, Białołęka, Białołęka,1,2
11976,560000,56,3,wtórny,1965,0,1,0,0,0, Praga-Południe, Grochów,4,4
17082,1040000,56,2,wtórny,1952,0,1,0,0,0, Mokotów,Kazimierzowska,1,3
21817,519340,56,3,pierwotny,2021,0,1,0,0,0, Białołęka, Białołęka,2,2
20149,560000,56,2,wtórny,2014,1,1,0,0,0, Białołęka, Aluzyjna,2,4
14859,1040000,56,2,wtórny,1952,0,1,0,0,0, Mokotów,Kazimierzowska,1,3
15721,999000,56,3,wtórny,2022,0,0,0,0,0, Śródmieście, Wilcza,4,4
5344,1040000,56,2,wtórny,1952,0,1,0,0,0, Mokotów,Kazimierzowska,1,3
11778,1040000,56,2,wtórny,1952,0,1,0,0,0, Mokotów,Kazimierzowska,1,3
5323,560000,56,3,wtórny,2022,0,0,0,0,0, Praga-Południe, Praga-Południe,4,4
21818,521732,56,3,pierwotny,2021,0,1,0,0,0, Białołęka, Białołęka,0,2
10946,487113,55,3,pierwotny,2025,1,1,0,0,0, Białołęka,Płochocińska,2,3
8019,878746,55,3,pierwotny,2021,1,1,0,0,0, Mokotów, Mokotów,2,2
5546,772524,55,3,pierwotny,2023,0,1,0,0,0, Targówek, Handlowa,2,4
13248,772524,55,3,pierwotny,2022,1,0,0,0,0, Targówek, Targówek,1,4
13253,772524,55,3,pierwotny,2022,1,0,0,0,0, Targówek, Targówek,2,4
133,850000,55,2,wtórny,2012,1,1,0,0,0, Mokotów, Mokotów,2,4
7947,725000,55,3,pierwotny,2023,1,1,0,0,0, Praga-Południe,Mlądzka,0,2
724,840000,55,3,pierwotny,2022,0,1,0,0,0, Mokotów,Bartycka,0,3
14533,759000,55,2,wtórny,2001,1,1,0,0,0, Ursynów, Kabaty,0,4
3101,759000,55,2,wtórny,2001,1,1,0,0,0, Ursynów, Wańkowicza,0,4
5493,645000,55,2,wtórny,2005,1,1,0,0,0, Bemowo, Wrocławska,3,3
6452,949000,55,2,wtórny,2006,1,0,0,0,0, Wola,Sienna 72a,8,16
12436,998000,55,3,wtórny,1950,0,0,0,0,0, Wola, Aleja Solidarności,3,4
19387,998000,55,3,wtórny,1950,0,0,0,0,0, Śródmieście, Śródmieście,3,4
14009,998000,55,3,wtórny,1950,0,0,0,0,0, Śródmieście, Aleja Solidarności,3,4
6391,998000,55,3,wtórny,1950,0,0,0,0,0, Śródmieście, al. Solidarności,3,4
13252,769350,55,3,pierwotny,2022,1,0,0,0,0, Targówek, Targówek,3,4
19989,546585,55,2,pierwotny,2022,0,1,0,0,0, Białołęka, Grodzisk,1,2
9860,789800,55,3,pierwotny,2022,0,1,0,0,0, Praga-Południe, Gocław,6,6
9232,789800,55,3,pierwotny,2022,1,1,0,0,0, Praga-Południe, Gocław,6,7
9679,789800,55,2,pierwotny,2022,1,1,0,0,0, Praga-Południe, Gocław,6,7
20782,1500000,55,2,wtórny,2021,1,0,0,0,0, Śródmieście, Powiśle,2,7
11718,579000,55,2,pierwotny,2022,1,1,0,0,0, Ursus, Ursus,3,6
2703,610000,55,3,wtórny,2022,0,0,0,0,0, Żoliborz, Stary Żoliborz,4,4
19912,1150000,55,2,wtórny,2013,1,1,0,0,0, Wola, Mirów,7,8
16565,999360,55,2,wtórny,2020,1,1,0,0,0, Wola, Wronia,4,6
14039,703000,55,2,wtórny,1991,0,1,0,0,0, Ursynów, Zygmunta Pawlaczyka,0,2
2287,498000,55,3,wtórny,1975,1,0,0,0,0, Targówek,Krasnobrodzka 2,4,10
2695,609999,55,3,wtórny,1967,0,0,0,0,0, Żoliborz, Sady Żoliborskie,0,4
2848,600000,55,3,wtórny,2020,1,1,0,0,0, Białołęka,Warzelnicza,1,2
7791,600000,55,3,wtórny,2020,1,1,0,0,0, Białołęka,Warzelnicza,1,2
12133,565000,55,3,wtórny,2018,1,1,0,0,0, Białołęka, Jana Kowalczyka,1,9
17638,694900,55,3,wtórny,2023,1,1,0,0,0, Targówek, Zamkowa,2,3
4888,509900,55,3,wtórny,1980,1,0,0,0,0, Targówek, Rzepichy,3,12
13223,600000,55,3,wtórny,2020,1,1,0,0,0, Białołęka,Warzelnicza,1,2
20945,600000,55,3,wtórny,2020,1,1,0,0,0, Białołęka,Warzelnicza,1,2
2147,600000,55,3,wtórny,2020,1,1,0,0,0, Białołęka,Warzelnicza,1,2
11803,659895,55,2,wtórny,2003,1,1,0,0,0, Ursus, Skoroszewska,4,7
14273,855000,55,3,wtórny,2019,1,1,0,0,0, Praga-Południe,Przeworska,3,6
5928,685000,55,3,wtórny,1969,1,0,0,0,0, Bielany, Stare Bielany,4,10
17161,600000,55,3,wtórny,2020,1,1,0,0,0, Białołęka,Warzelnicza,1,2
4419,685000,55,3,wtórny,1969,1,0,0,0,0, Bielany, Stare Bielany,4,10
2652,600000,55,3,wtórny,2020,1,1,0,0,0, Białołęka,Warzelnicza,1,2
14044,703000,55,2,wtórny,1991,0,1,0,0,0, Ursynów, Zygmunta Pawlaczyka,0,2
14344,704000,55,2,wtórny,1991,0,0,0,0,0, Ursynów, Pawlaczyka Zygmunta,0,4
4129,725000,55,3,wtórny,2019,1,1,0,0,0, Ursynów, Ursynów,3,3
13610,829000,55,2,wtórny,2003,1,1,0,0,0, Ursynów, Aleja Komisji Edukacji Narodowej,5,6
20227,530000,55,3,wtórny,1971,0,0,0,0,0, Włochy, Żwirki i Wigury,2,4
15452,722800,55,3,pierwotny,2024,1,1,0,0,0, Bemowo, Siodlarska,4,6
14439,640000,55,3,pierwotny,2025,1,1,0,0,0, Bemowo, Lazurowa,0,5
5237,989000,55,3,wtórny,2022,1,1,0,0,0, Wola, Nakielska,3,6
18018,685000,55,3,wtórny,2002,1,0,0,0,0, Wola, Czyste,10,12
16527,1800000,55,2,wtórny,2022,1,1,0,0,0, Śródmieście, Leona Kruczkowskiego,3,6
4700,685000,55,3,wtórny,2002,1,0,0,0,0, Wola, Czyste,10,12
22192,685000,55,3,wtórny,2002,1,0,0,0,0, Wola, Czyste,10,12
13104,685000,55,3,wtórny,2002,1,0,0,0,0, Wola, Czyste,10,12
46,560000,55,3,wtórny,2023,1,1,0,0,0, Ursus,Posag 7 Panien,7,8
7,560000,55,3,wtórny,2023,1,1,0,0,0, Ursus,Posag 7 Panien,7,8
8005,638000,55,3,wtórny,1976,1,0,0,0,0, Wola, Wola,9,10
